model,model_path,task_id,api,instruction_id,source_api_index,source_instance_index,target_tool,prompt_tokens,y_tokens,y_mean_token_probability,y_log_probability,z_tokens,z_mean_token_probability,z_log_probability,a_tokens,a_mean_token_probability,a_log_probability
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Dangerous Discord Database::0,Dangerous Discord Database,0,96,1,searchMaliciousAccounts,665,50,0.9071429385797819,-14.92996597290039,22,0.7931958062307042,-14.833440780639648,28,0.9966728282826287,-0.09652519226074219
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Dangerous Discord Database::1,Dangerous Discord Database,1,96,8,searchMaliciousAccounts,670,59,0.8524508647110066,-41.411203384399414,28,0.6897196150506325,-41.3935432434082,31,0.9994339289203766,-0.017660140991210938
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,GraphHopper::0,GraphHopper,0,208,0,getDetails,1224,51,0.8681685269590679,-34.908748626708984,18,0.775174883344107,-22.169538497924805,33,0.9188923325672284,-12.73921012878418
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,GraphHopper::1,GraphHopper,1,208,6,routeOptimization,1216,167,0.9302665163539787,-50.171810150146484,19,0.7573626395314932,-12.077123641967773,148,0.9524636356757843,-38.09468650817871
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,isEven (humor)::0,isEven (humor),0,432,4,checkNumber,273,37,0.8739428991308854,-32.4215202331543,13,0.6530796254792938,-32.254249572753906,24,0.9935771723588307,-0.16727066040039062
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,isEven (humor)::1,isEven (humor),1,432,9,checkNumber,270,36,0.863886627591559,-37.346906661987305,13,0.6379383565010712,-37.1322078704834,23,0.991596519947052,-0.21469879150390625
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,The Muse::0,The Muse,0,407,0,searchJobs,746,70,0.954967683211102,-12.215066909790039,25,0.9119232448283583,-9.842805862426758,45,0.9788812600904041,-2.3722610473632812
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,The Muse::1,The Muse,1,407,5,getJobApplications,746,48,0.9712000136205461,-5.84950065612793,17,0.9224368844674352,-5.784156799316406,31,0.9979410844464456,-0.06534385681152344
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Dictum::0,Dictum,0,222,0,getRandomQuote,599,33,0.8492396268926823,-41.68377113342285,15,0.7354040656091849,-36.91535949707031,18,0.9441025946289301,-4.768411636352539
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Dictum::1,Dictum,1,222,8,searchExpressions,606,54,0.8948099882823315,-54.68947410583496,17,0.7972610585150677,-36.08367156982422,37,0.9396297668240473,-18.605802536010742
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,British National Bibliography::0,British National Bibliography,0,363,6,searchBooks,551,40,0.9130668773897924,-8.980697631835938,14,0.7981985252949275,-8.140640258789062,26,0.974919066979335,-0.840057373046875
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,British National Bibliography::1,British National Bibliography,1,363,8,searchBooks,552,42,0.9160244787289272,-9.35038948059082,14,0.8175927098574383,-6.371511459350586,28,0.9652403631646718,-2.9788780212402344
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Pastebin::0,Pastebin,0,93,3,getUserPastes,1758,62,0.9159227515904538,-55.445838928222656,23,0.8266226176646914,-48.61079978942871,39,0.9685869331364161,-6.835039138793945
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Pastebin::1,Pastebin,1,93,4,getTrendingPastes,1755,44,0.9023987907023432,-31.84251594543457,24,0.865897323868315,-18.576196670532227,20,0.946200550903177,-13.266319274902344
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Coinlib::0,Coinlib,0,342,1,getCoinData,713,40,0.8774632451822981,-15.503673553466797,16,0.7560999742127024,-14.041738510131836,24,0.9583720924953619,-1.461935043334961
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Coinlib::1,Coinlib,1,342,7,getCoinData,711,41,0.8994086761845321,-9.733976364135742,17,0.7896876227768028,-8.9512939453125,24,0.9771277556816736,-0.7826824188232422
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,NovaDax::0,NovaDax,0,385,1,getDepth,924,58,0.9791934657199629,-1.9485149383544922,25,0.9665139442682267,-1.5425186157226562,33,0.9887991637894602,-0.40599632263183594
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,NovaDax::1,NovaDax,1,385,2,getTrades,925,61,0.9758679289370775,-4.363002777099609,26,0.9585037641943648,-3.8835277557373047,35,0.9887670227459499,-0.4794750213623047
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,PUBG::0,PUBG,0,460,4,getPlayer,602,51,0.8352246548297533,-33.15732765197754,26,0.7692226756435748,-19.83635711669922,25,0.9038667131833791,-13.32097053527832
